P@1,P@3,P@5,P@10,R@5,F1@5,nDCG@10,AP@10,MRR@10,query,model
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black cotton t shirt,tfidf
0.0,0.0,0.0,0.1,0.0,0.0,0.3010299956639812,0.01111111111111111,0.1111111111111111,plain white tshirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oversized tshirt men,tfidf
0.0,0.3333333333333333,0.2,0.3,0.1,0.13333333333333333,0.5988943393645153,0.11333333333333333,0.5,v neck t shirt women,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cheap graphic tees,tfidf
0.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,0.6309297535714575,0.05,0.5,long sleeve t shirt,tfidf
1.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,1.0,0.1,1.0,striped tshirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slim fit tshirt,tfidf
0.0,0.0,0.0,0.1,0.0,0.0,0.31546487678572877,0.0125,0.125,organic cotton tshirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vintage band tees,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,polo style t shirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,red sports tshirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funny print tshirts,tfidf
1.0,0.6666666666666666,0.4,0.2,0.2,0.26666666666666666,1.0,0.2,1.0,21 Red shirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crop top tshirt,tfidf
0.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,0.6309297535714575,0.05,0.5,loose fit t shirt women,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moisture wicking tshirt,tfidf
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5912352048230277,0.07857142857142857,0.5,tie dye tshirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,soft casual tshirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,designer logo tshirt,tfidf
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5640920940185894,0.06999999999999999,0.5,mens leather watch,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smart watch for android,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,waterproof sports watch,tfidf
0.0,0.0,0.2,0.2,0.1,0.13333333333333333,0.41443699955334395,0.04,0.2,ladies gold watch,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automatic mechanical watch,tfidf
0.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,0.5,0.03333333333333333,0.3333333333333333,running shoes men,tfidf
0.0,0.0,0.0,0.1,0.0,0.0,0.31546487678572877,0.0125,0.125,womens gym sneakers,tfidf
1.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,1.0,0.1,1.0,lightweight jogging shoes,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,breathable sports shoes,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,football turf shoes,tfidf
0.0,0.0,0.2,0.2,0.1,0.13333333333333333,0.4415801103577823,0.04857142857142857,0.2,plain white shirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal office shirt men,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slim fit dress shirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checked casual shirt,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cotton linen shirt,tfidf
0.0,0.0,0.0,0.1,0.0,0.0,0.3010299956639812,0.01111111111111111,0.1111111111111111,slip on casual shoes,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canvas sneakers men,tfidf
0.0,0.6666666666666666,0.4,0.2,0.2,0.26666666666666666,0.6934264036172708,0.11666666666666665,0.5,white casual shoes,tfidf
1.0,0.6666666666666666,0.6,0.6,0.3,0.4,0.9103349017299519,0.4647619047619048,1.0,loafers for women,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cheap casual sneakers,tfidf
0.0,0.3333333333333333,0.4,0.3,0.2,0.26666666666666666,0.5833416105149332,0.12333333333333334,0.3333333333333333,crop top women,tfidf
1.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,1.0,0.1,1.0,plain cotton top,tfidf
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5249810332008933,0.06666666666666667,0.3333333333333333,sleeveless summer tops,tfidf
0.0,0.0,0.0,0.1,0.0,0.0,0.3010299956639812,0.01111111111111111,0.1111111111111111,v neck casual top,tfidf
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5109559939712153,0.06190476190476191,0.3333333333333333,floral print blouse,tfidf
0.0,0.0,0.2,0.1,0.1,0.13333333333333333,0.38685280723454163,0.02,0.2,black stiletto heels,tfidf
1.0,0.3333333333333333,0.4,0.3,0.2,0.26666666666666666,0.8194270280062366,0.1875,1.0,block heels women,tfidf
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5640920940185894,0.06999999999999999,0.5,party wear heels,tfidf
0.0,0.0,0.0,0.2,0.0,0.0,0.37800210039683896,0.034722222222222224,0.125,high heels,tfidf
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.6052602440527057,0.08333333333333333,0.5,wedge sandals heels,tfidf
0.0,0.6666666666666666,0.4,0.5,0.2,0.26666666666666666,0.7195284669516135,0.27936507936507937,0.5,aviator sunglasses men,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,round frame sunglasses,tfidf
0.0,0.3333333333333333,0.6,0.6,0.3,0.4,0.6984365947119812,0.34809523809523807,0.3333333333333333,polarized driving glasses,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oversized fashion shades,tfidf
0.0,0.0,0.0,0.1,0.0,0.0,0.3333333333333333,0.014285714285714285,0.14285714285714285,cheap wayfarer sunglasses,tfidf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black cotton t shirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.3562071871080222,0.016666666666666666,0.16666666666666666,plain white tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oversized tshirt men,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.6,0.4,0.3,0.4,0.8396538878217249,0.2671428571428572,1.0,v neck t shirt women,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cheap graphic tees,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,0.6309297535714575,0.05,0.5,long sleeve t shirt,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.8175295903539445,0.12857142857142856,1.0,striped tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slim fit tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.2890648263178879,0.01,0.1,organic cotton tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vintage band tees,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,polo style t shirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,red sports tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funny print tshirts,"bm25(k1=1.0,b=0.55)"
1.0,0.6666666666666666,0.4,0.4,0.2,0.26666666666666666,0.8773497378596238,0.28194444444444444,1.0,21 Red shirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crop top tshirt,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,1.0,0.1,1.0,loose fit t shirt women,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moisture wicking tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.2,0.4,0.1,0.13333333333333333,0.6260258673782978,0.16527777777777777,0.5,tie dye tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,soft casual tshirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,designer logo tshirt,"bm25(k1=1.0,b=0.55)"
1.0,0.6666666666666666,0.4,0.2,0.2,0.26666666666666666,1.0,0.2,1.0,mens leather watch,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.2,0.2,0.1,0.13333333333333333,0.45560514958746035,0.05333333333333333,0.2,smart watch for android,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,waterproof sports watch,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,0.5,0.03333333333333333,0.3333333333333333,ladies gold watch,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.4,0.2,0.2,0.26666666666666666,0.5706417189553201,0.08333333333333333,0.3333333333333333,automatic mechanical watch,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,1.0,0.1,1.0,running shoes men,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,womens gym sneakers,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,1.0,0.1,1.0,lightweight jogging shoes,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.3333333333333333,0.014285714285714285,0.14285714285714285,breathable sports shoes,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.31546487678572877,0.0125,0.125,football turf shoes,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.4911492931622974,0.05555555555555556,0.3333333333333333,plain white shirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.3333333333333333,0.014285714285714285,0.14285714285714285,formal office shirt men,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slim fit dress shirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checked casual shirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cotton linen shirt,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.2,0.1,0.1,0.13333333333333333,0.43067655807339306,0.025,0.25,slip on casual shoes,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.3010299956639812,0.01111111111111111,0.1111111111111111,canvas sneakers men,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.2890648263178879,0.01,0.1,white casual shoes,"bm25(k1=1.0,b=0.55)"
1.0,0.6666666666666666,0.6,0.6,0.3,0.4,0.9279641043683683,0.488095238095238,1.0,loafers for women,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cheap casual sneakers,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crop top women,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.2,0.1,0.1,0.13333333333333333,1.0,0.1,1.0,plain cotton top,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.4,0.3,0.2,0.26666666666666666,0.8179809735263114,0.19,1.0,sleeveless summer tops,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.1,0.0,0.0,0.3333333333333333,0.014285714285714285,0.14285714285714285,v neck casual top,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5640920940185894,0.06999999999999999,0.5,floral print blouse,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.2,0.3,0.1,0.13333333333333333,0.5105347743265789,0.09166666666666665,0.25,black stiletto heels,"bm25(k1=1.0,b=0.55)"
1.0,0.3333333333333333,0.4,0.3,0.2,0.26666666666666666,0.8194270280062366,0.1875,1.0,block heels women,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5109559939712153,0.06190476190476191,0.3333333333333333,party wear heels,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high heels,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.2,0.2,0.1,0.13333333333333333,0.5912352048230277,0.07857142857142857,0.5,wedge sandals heels,"bm25(k1=1.0,b=0.55)"
1.0,0.6666666666666666,0.4,0.5,0.2,0.26666666666666666,0.8830483001978133,0.3555555555555555,1.0,aviator sunglasses men,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.2,0.0,0.0,0.3706656904013186,0.0325,0.125,round frame sunglasses,"bm25(k1=1.0,b=0.55)"
0.0,0.3333333333333333,0.6,0.6,0.3,0.4,0.7028046245779903,0.35642857142857143,0.3333333333333333,polarized driving glasses,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oversized fashion shades,"bm25(k1=1.0,b=0.55)"
0.0,0.0,0.2,0.1,0.1,0.13333333333333333,0.43067655807339306,0.025,0.25,cheap wayfarer sunglasses,"bm25(k1=1.0,b=0.55)"
